name,type,start_time,duration,"mosi","miso"
"SPI","result",0.45776132,0.00078061,0xD5,0x00
"SPI","result",0.46083083,0.00078062,0x07,0x00
"SPI","result",0.46389922,0.00078062,0x01,0x00
"SPI","result",0.46696842,0.00078062,0x01,0x00
"SPI","result",0.47003844,0.00078062,0xD3,0x00
"SPI","result",0.48229452,0.00078063,0x01,0x00
"SPI","result",0.48538202,0.00078062,0x38,0x00
"SPI","result",0.48845079,0.00078062,0x1E,0x00
"SPI","result",0.49151968,0.00078062,0x3B,0x00
"SPI","result",0.49458857,0.00078062,0x1F,0x00
"SPI","result",0.49765746,0.00078062,0xD5,0x00
"SPI","result",0.50072648,0.00078062,0x07,0x00
"SPI","result",0.50379537,0.00078062,0x01,0x00
"SPI","result",0.5068647,0.00078062,0x01,0x00
"SPI","result",0.50993371,0.00078062,0xD3,0x00
"SPI","result",0.52219042,0.00078063,0x01,0x00
"SPI","result",0.52527836,0.00078062,0x38,0x00
"SPI","result",0.52834725,0.00078062,0x1E,0x00
"SPI","result",0.5314162,0.00078062,0x3B,0x00
"SPI","result",0.53448616,0.00078062,0x1F,0x00
"SPI","result",0.53755399,0.00078062,0xD5,0x00
"SPI","result",0.540624,0.00078062,0x07,0x00
"SPI","result",0.54369183,0.00078062,0x01,0x00
"SPI","result",0.54676084,0.00078063,0x01,0x00
"SPI","result",0.54982968,0.00078062,0xD3,0x00
"SPI","result",0.56208688,0.00078063,0x01,0x00
"SPI","result",0.56517494,0.00078063,0x38,0x00
"SPI","result",0.56824339,0.00078063,0x1E,0x00
"SPI","result",0.57131235,0.00078062,0x3B,0x00
"SPI","result",0.57438286,0.00078063,0x1F,0x00
"SPI","result",0.57745032,0.00078062,0xD5,0x00
"SPI","result",0.58051921,0.00078062,0x07,0x00
"SPI","result",0.58358835,0.00078063,0x01,0x00
"SPI","result",0.58665768,0.00078063,0x01,0x00
"SPI","result",0.58972764,0.00078062,0xD3,0x00
"SPI","result",0.60198353,0.00078063,0x01,0x00
"SPI","result",0.60507128,0.00078062,0x38,0x00
"SPI","result",0.60814011,0.00078062,0x1E,0x00
"SPI","result",0.61120875,0.00078062,0x3B,0x00
"SPI","result",0.61427771,0.00078062,0x1F,0x00
"SPI","result",0.61734822,0.00078062,0xD5,0x00
"SPI","result",0.62041573,0.00078063,0x07,0x00
"SPI","result",0.62348463,0.00078062,0x01,0x00
"SPI","result",0.6265537,0.00078063,0x01,0x00
"SPI","result",0.62962247,0.00078062,0xD3,0x00
"SPI","result",0.6418798,0.00078063,0x01,0x00
"SPI","result",0.6449673,0.00078063,0x38,0x00
"SPI","result",0.64803694,0.00078063,0x1E,0x00
"SPI","result",0.65110533,0.00078063,0x3B,0x00
"SPI","result",0.6541741,0.00078063,0x1F,0x00
"SPI","result",0.65724318,0.00078062,0xD5,0x00
"SPI","result",0.66031251,0.00078062,0x07,0x00
"SPI","result",0.66338133,0.00078063,0x01,0x00
"SPI","result",0.66645016,0.00078063,0x01,0x00
"SPI","result",0.66952018,0.00078062,0xD3,0x00
"SPI","result",0.68177639,0.00078062,0x01,0x00
"SPI","result",0.6848637,0.00078063,0x38,0x00
"SPI","result",0.68793259,0.00078062,0x1E,0x00
"SPI","result",0.69100285,0.00078062,0x3B,0x00
"SPI","result",0.694072,0.00078062,0x1F,0x00
"SPI","result",0.69714051,0.00078062,0xD5,0x00
"SPI","result",0.70020847,0.00078062,0x07,0x00
"SPI","result",0.70327736,0.00078063,0x01,0x00
"SPI","result",0.7063465,0.00078063,0x01,0x00
