name,type,start_time,duration,"mosi","miso"
"SPI","result",0.46341291,0.00301663,0x6D,0x00
"SPI","result",0.46648159,0.00301726,0x1E,0x00
"SPI","result",0.4695509,0.00301801,0x6F,0x00
"SPI","result",0.47262097,0.00301532,0x1E,0x00
"SPI","result",0.47568834,0.00301763,0xAF,0x00
"SPI","result",0.47875803,0.0030165,0x82,0x00
"SPI","result",0.48182659,0.00301682,0x02,0x00
"SPI","result",0.48489547,0.00301831,0x03,0x00
"SPI","result",0.48796584,0.01220346,0x2E,0x00
"SPI","result",0.50022135,0.00303555,0x01,0x00
"SPI","result",0.50330896,0.00301713,0x6D,0x00
"SPI","result",0.50637814,0.00301645,0x1E,0x00
"SPI","result",0.50944664,0.00301695,0x6F,0x00
"SPI","result",0.51251564,0.00301688,0x1E,0x00
"SPI","result",0.51558458,0.00301713,0xAF,0x00
"SPI","result",0.51865377,0.003017,0x82,0x00
"SPI","result",0.52172283,0.00301682,0x02,0x00
"SPI","result",0.52479171,0.00301688,0x03,0x00
"SPI","result",0.52786064,0.01220465,0x2E,0x00
"SPI","result",0.54011734,0.00303593,0x01,0x00
"SPI","result",0.54320532,0.00301651,0x6D,0x00
"SPI","result",0.54627389,0.00301781,0x1E,0x00
"SPI","result",0.54934376,0.00301594,0x6F,0x00
"SPI","result",0.55241176,0.00301694,0x1E,0x00
"SPI","result",0.55548076,0.00301775,0xAF,0x00
"SPI","result",0.55855057,0.00301688,0x82,0x00
"SPI","result",0.56161951,0.00301632,0x02,0x00
"SPI","result",0.56468788,0.00301676,0x03,0x00
"SPI","result",0.56775669,0.01220515,0x2E,0x00
"SPI","result",0.5800139,0.00303523,0x01,0x00
"SPI","result",0.58310119,0.00301701,0x6D,0x00
"SPI","result",0.58617025,0.00301669,0x1E,0x00
"SPI","result",0.589239,0.00301732,0x6F,0x00
"SPI","result",0.59230837,0.00301688,0x1E,0x00
"SPI","result",0.59537731,0.0030165,0xAF,0x00
"SPI","result",0.59844587,0.00301695,0x82,0x00
"SPI","result",0.60151487,0.00301794,0x02,0x00
"SPI","result",0.60458487,0.00301576,0x03,0x00
"SPI","result",0.60765268,0.01220502,0x2E,0x00
"SPI","result",0.61990976,0.00303561,0x01,0x00
"SPI","result",0.62299743,0.00301725,0x6D,0x00
"SPI","result",0.62606674,0.00301638,0x1E,0x00
"SPI","result",0.62913517,0.00303243,0x6F,0x00
"SPI","result",0.63221966,0.00300139,0x1E,0x00
"SPI","result",0.63527311,0.00301844,0xAF,0x00
"SPI","result",0.63834361,0.00301532,0x82,0x00
"SPI","result",0.64141098,0.00301682,0x02,0x00
"SPI","result",0.64447986,0.00301688,0x03,0x00
"SPI","result",0.64754879,0.01220521,0x2E,0x00
"SPI","result",0.65980606,0.00303567,0x01,0x00
"SPI","result",0.66289379,0.00301676,0x6D,0x00
"SPI","result",0.6659626,0.00301688,0x1E,0x00
"SPI","result",0.66903154,0.00301694,0x6F,0x00
"SPI","result",0.67210054,0.00301681,0x1E,0x00
"SPI","result",0.67516941,0.00301695,0xAF,0x00
"SPI","result",0.67823841,0.00301663,0x82,0x00
"SPI","result",0.6813071,0.00301719,0x02,0x00
"SPI","result",0.68437635,0.00301669,0x03,0x00
"SPI","result",0.6874451,0.01220602,0x2E,0x00
"SPI","result",0.69970317,0.00303449,0x01,0x00
"SPI","result",0.70278972,0.00301725,0x6D,0x00
"SPI","result",0.70585903,0.00301656,0x1E,0x00
"SPI","result",0.70892765,0.00301682,0x6F,0x00
"SPI","result",0.71199653,0.00301869,0x1E,0x00
"SPI","result",0.71506727,0.00301564,0xAF,0x00
"SPI","result",0.71813496,0.00301676,0x82,0x00
"SPI","result",0.72120378,0.00301669,0x02,0x00
"SPI","result",0.72427252,0.00301682,0x03,0x00
"SPI","result",0.7273414,0.01220514,0x2E,0x00
"SPI","result",0.7395986,0.00303524,0x01,0x00
"SPI","result",0.74268589,0.00301707,0x6D,0x00
"SPI","result",0.74575501,0.00301695,0x1E,0x00
"SPI","result",0.74882401,0.00301657,0x6F,0x00
"SPI","result",0.75189264,0.00301713,0x1E,0x00
"SPI","result",0.75496183,0.00301788,0xAF,0x00
"SPI","result",0.75803176,0.00301582,0x82,0x00
"SPI","result",0.76109963,0.00301683,0x02,0x00
"SPI","result",0.76416851,0.00301682,0x03,0x00
"SPI","result",0.76723739,0.0122052,0x2E,0x00
"SPI","result",0.77949465,0.00303598,0x01,0x00
"SPI","result",0.78258269,0.00301638,0x6D,0x00
"SPI","result",0.78565113,0.00301675,0x1E,0x00
"SPI","result",0.78871994,0.00301694,0x6F,0x00
"SPI","result",0.79178894,0.00301713,0x1E,0x00
"SPI","result",0.79485813,0.00301669,0xAF,0x00
"SPI","result",0.79792687,0.00301726,0x82,0x00
"SPI","result",0.80099618,0.00301639,0x02,0x00
"SPI","result",0.80406462,0.00301707,0x03,0x00
"SPI","result",0.80713375,0.01220564,0x2E,0x00
"SPI","result",0.81939145,0.00303517,0x01,0x00
"SPI","result",0.82247868,0.00301638,0x6D,0x00
"SPI","result",0.82554712,0.00301744,0x1E,0x00
"SPI","result",0.82861661,0.00301639,0x6F,0x00
"SPI","result",0.83168505,0.00301769,0x1E,0x00
"SPI","result",0.8347548,0.00301601,0xAF,0x00
"SPI","result",0.83782286,0.00301713,0x82,0x00
"SPI","result",0.84089205,0.00301701,0x02,0x00
"SPI","result",0.84396111,0.00301651,0x03,0x00
"SPI","result",0.84702967,0.01220502,0x2E,0x00
"SPI","result",0.85928675,0.00303573,0x01,0x00
"SPI","result",0.86237454,0.00301682,0x6D,0x00
"SPI","result",0.86544342,0.00301681,0x1E,0x00
"SPI","result",0.86851229,0.00301682,0x6F,0x00
"SPI","result",0.87158116,0.00301707,0x1E,0x00
"SPI","result",0.87465029,0.00301707,0xAF,0x00
"SPI","result",0.87771941,0.00301651,0x82,0x00
"SPI","result",0.88078797,0.00301701,0x02,0x00
"SPI","result",0.88385703,0.0030172,0x03,0x00
"SPI","result",0.88692628,0.01220465,0x2E,0x00
"SPI","result",0.89918299,0.00303586,0x01,0x00
"SPI","result",0.90227091,0.00301694,0x6D,0x00
"SPI","result",0.9053399,0.00301695,0x1E,0x00
